audiencescore,boxoffice,title,tomatometer,year,type,Domestic,International,Worldwide
90,,Minamata,78,2020,movie,$0,"$1,666,570","$1,666,570"
94,2202,Crock of Gold: A Few Rounds With Shane MacGowan,96,2020,movie,"$2,455","$144,532","$146,987"
63,,Waiting for the Barbarians,53,2019,movie,$0,"$764,815","$764,815"
80,565661,City of Lies,51,2018,movie,"$572,493","$2,251,966","$2,824,459"
77,,The Professor,10,2018,movie,$0,"$3,645,308","$3,645,308"
54,159437536,Fantastic Beasts: The Crimes of Grindelwald,36,2018,movie,"$159,555,901","$495,300,000","$654,855,901"
36,43135692,Sherlock Gnomes,27,2018,movie,"$43,242,871","$47,254,907","$90,497,778"
53,101550000,Murder on the Orient Express,61,2017,movie,"$102,826,543","$249,967,538","$352,794,081"
60,172537139,Pirates of the Caribbean: Dead Men Tell No Tales,30,2017,movie,"$172,558,876","$622,322,566","$794,881,442"
79,234018657,Fantastic Beasts and Where to Find Them,74,2016,movie,"$234,037,575","$580,006,426","$814,044,001"
34,,Yoga Hosers,24,2016,movie,$0,"$36,585","$36,585"
48,77037635,Alice Through the Looking Glass,28,2016,movie,"$77,041,381","$222,779,417","$299,820,798"
43,,The Nightmare,67,2015,movie,"$28,281","$13,572","$41,853"
68,62563543,Black Mass,73,2015,movie,"$62,575,678","$37,200,000","$99,775,678"
30,7688523,Mortdecai,12,2015,movie,"$7,696,134","$39,579,583","$47,275,717"
49,127997349,Into the Woods,71,2014,movie,"$128,002,372","$84,900,000","$212,902,372"
36,1821983,Tusk,46,2014,movie,"$1,826,705","$55,369","$1,882,074"
37,23014504,Transcendence,19,2014,movie,"$23,022,309","$80,016,949","$103,039,258"
51,89289910,The Lone Ranger,31,2013,movie,"$89,302,115","$171,200,000","$260,502,115"
61,,Radioman,71,2012,movie,$0,$0,$0
61,67105,For No Good Reason,63,2012,movie,"$67,421",$0,"$67,421"
87,309864,West of Memphis,95,2012,movie,"$310,154","$8,163","$318,317"
